datetime,value
2020-11-01 01:00:00+01:00,325.0
2020-11-01 01:00:03+01:00,325.0
2020-11-01 01:00:06+01:00,324.0
2020-11-01 01:00:09+01:00,325.0
2020-11-01 01:00:12+01:00,326.0
2020-11-01 01:00:15+01:00,328.0
2020-11-01 01:00:18+01:00,328.0
2020-11-01 01:00:21+01:00,327.0
2020-11-01 01:00:24+01:00,326.0
2020-11-01 01:00:27+01:00,326.0
2020-11-01 01:00:30+01:00,325.0
2020-11-01 01:00:33+01:00,327.0
2020-11-01 01:00:36+01:00,328.0
2020-11-01 01:00:39+01:00,330.0
2020-11-01 01:00:42+01:00,329.0
2020-11-01 01:00:45+01:00,327.0
2020-11-01 01:00:48+01:00,325.0
2020-11-01 01:00:51+01:00,326.0
2020-11-01 01:00:54+01:00,325.0
2020-11-01 01:00:57+01:00,325.0
2020-11-01 01:01:00+01:00,326.0
2020-11-01 01:01:03+01:00,327.0
2020-11-01 01:01:06+01:00,323.0
2020-11-01 01:01:09+01:00,322.0
2020-11-01 01:01:12+01:00,320.0
2020-11-01 01:01:15+01:00,321.0
2020-11-01 01:01:18+01:00,322.0
2020-11-01 01:01:21+01:00,322.0
2020-11-01 01:01:24+01:00,323.0
2020-11-01 01:01:27+01:00,321.0
2020-11-01 01:01:30+01:00,321.0
2020-11-01 01:01:33+01:00,319.0
2020-11-01 01:01:36+01:00,319.0
2020-11-01 01:01:39+01:00,321.0
2020-11-01 01:01:42+01:00,322.0
2020-11-01 01:01:45+01:00,321.0
2020-11-01 01:01:48+01:00,321.0
2020-11-01 01:01:51+01:00,319.0
2020-11-01 01:01:54+01:00,319.0
2020-11-01 01:01:57+01:00,319.0
2020-11-01 01:02:00+01:00,318.0
2020-11-01 01:02:03+01:00,320.0
2020-11-01 01:02:06+01:00,322.0
2020-11-01 01:02:09+01:00,321.0
2020-11-01 01:02:12+01:00,320.0
2020-11-01 01:02:15+01:00,320.0
2020-11-01 01:02:18+01:00,318.0
2020-11-01 01:02:21+01:00,319.0
2020-11-01 01:02:24+01:00,320.0
2020-11-01 01:02:27+01:00,322.0
2020-11-01 01:02:30+01:00,209.0
2020-11-01 01:02:33+01:00,234.0
2020-11-01 01:02:36+01:00,216.0
2020-11-01 01:02:40+01:00,214.0
2020-11-01 01:02:43+01:00,216.0
2020-11-01 01:02:46+01:00,215.0
2020-11-01 01:02:50+01:00,210.0
2020-11-01 01:02:53+01:00,213.0
2020-11-01 01:02:57+01:00,212.0
2020-11-01 01:03:00+01:00,212.0
2020-11-01 01:03:03+01:00,212.0
2020-11-01 01:03:07+01:00,214.0
2020-11-01 01:03:10+01:00,212.0
2020-11-01 01:03:14+01:00,212.0
2020-11-01 01:03:17+01:00,213.0
2020-11-01 01:03:20+01:00,214.0
2020-11-01 01:03:24+01:00,203.0
2020-11-01 01:03:27+01:00,203.0
2020-11-01 01:03:31+01:00,201.0
2020-11-01 01:03:35+01:00,203.0
2020-11-01 01:03:38+01:00,204.0
2020-11-01 01:03:42+01:00,201.0
2020-11-01 01:03:45+01:00,202.0
2020-11-01 01:03:49+01:00,202.0
2020-11-01 01:03:52+01:00,203.0
2020-11-01 01:03:56+01:00,202.0
2020-11-01 01:03:59+01:00,204.0
2020-11-01 01:04:03+01:00,200.0
2020-11-01 01:04:07+01:00,214.0
2020-11-01 01:04:10+01:00,215.0
2020-11-01 01:04:13+01:00,214.0
